,1d,5d,10d
IC Mean,0.012838954534578036,0.023650573760247835,0.0291351269373934
IC Std.,0.09701230854197904,0.10700561665263371,0.10758158848107915
Information Ratio,0.1323435626626943,0.22102179773444375,0.2708188952100993
t-stat(IC),4.588334330785181,7.662797358580348,9.389256336440502
p-value(IC),4.936560537085332e-06,3.7331530680776093e-14,2.9276595155250963e-20
IC Skew,-0.023469483749725035,-0.0157938135451351,-0.05966304077789287
IC Kurtosis,-0.11801748557242364,-0.15098858684742078,0.11417887314660158
