,1d,5d,10d
IC Mean,0.019029125744339577,0.015841659156763884,0.015798857131650752
IC Std.,0.1144899179853633,0.1141969587132398,0.10830174838335149
Information Ratio,0.16620787296548079,0.13872225088361506,0.14587813555629917
t-stat(IC),5.723925020853377,4.7773655279659035,5.023802394003076
p-value(IC),1.317759936678853e-08,1.9982824773530402e-06,5.843933501021931e-07
IC Skew,0.04013566248175702,0.20938479588342773,0.3767119551847261
IC Kurtosis,0.3509031586572062,0.5923426429349132,0.9243538251152223
