,1d,5d,10d
IC Mean,0.0202523955651023,0.016376298376419376,0.015353239365154417
IC Std.,0.11265282816559635,0.11437528575463113,0.1084412756377359
Information Ratio,0.17977707168906468,0.14318039311002367,0.14158113942189487
t-stat(IC),6.206866861958082,4.943353615269696,4.888138817145276
p-value(IC),7.448977517547602e-10,8.777097529047458e-07,1.15698174498222e-06
IC Skew,-0.0003010009205997019,0.14250126755496306,0.28244051082802374
IC Kurtosis,0.4327007506544347,0.7097107307471848,0.6525468141657647
