,1d,5d,10d
IC Mean,0.016894661327837592,0.0180096688676887,0.016665921048796436
IC Std.,0.11242458311635249,0.1086575899368271,0.11000269680910948
Information Ratio,0.15027550789628158,0.16574699363532194,0.15150465881502195
t-stat(IC),5.175240644873789,5.7080530968438685,5.217570575295581
p-value(IC),2.6714018150438394e-07,1.4430754941739095e-08,2.138468632808611e-07
IC Skew,0.12811899100767432,0.35446066244768293,0.2918132467892668
IC Kurtosis,0.6849502019894427,0.6093251853178541,0.8385178441509593
