,1d,5d,10d
IC Mean,-0.00045587337834554747,-0.001692279747816329,-0.0014177608485703497
IC Std.,0.04806174107113929,0.056147846759912495,0.05620994309825164
Information Ratio,-0.009485161548159062,-0.03013970874168152,-0.025222598893085302
t-stat(IC),-0.3269286283556002,-1.0388366700899963,-0.8693567966989757
p-value(IC),0.7437795076342169,0.2990922639595283,0.38482775773215716
IC Skew,-0.6602022582240149,-2.0648891480405207,-2.675292954976769
IC Kurtosis,4.009103357599085,11.487950967931122,18.549234835288043
