,1d,5d,10d
IC Mean,-8.242008666182889e-05,-0.0007625363403469073,6.612964071004707e-05
IC Std.,0.05294902873198846,0.05804444434335396,0.05789593960258439
Information Ratio,-0.001556592984528834,-0.013137111552592838,0.0011422155191535253
t-stat(IC),-0.05353865308494437,-0.45184789148036564,0.0392862366951439
p-value(IC),0.9573117810889099,0.6514614654091879,0.9686688139188389
IC Skew,-0.6486037017889028,-1.9555970163366756,-2.457291516063409
IC Kurtosis,3.963321763443278,10.05154018928709,16.291368414711854
