,1d,5d,10d
IC Mean,-0.0004630218796521487,-0.001633268784948254,-0.0019282713389234681
IC Std.,0.043888514029964486,0.05287943740763323,0.0551519368959094
Information Ratio,-0.010549955720442589,-0.030886652071538286,-0.03496289427808812
t-stat(IC),-0.364393699018021,-1.0668197760130782,-1.2076124973379563
p-value(IC),0.7156286704342787,0.2862692460651215,0.22743590267347663
IC Skew,-0.5688677505593588,-2.3174639343692185,-2.8679399618731596
IC Kurtosis,4.075899562611801,13.88336964802119,20.48716050011398
