,1d,5d,10d
IC Mean,0.04457122635998543,0.07246783625851998,0.08578821929993122
IC Std.,0.16891154464908667,0.16086895765424405,0.16245429357172295
Information Ratio,0.2638731796135193,0.45047744024223263,0.5280760355038326
t-stat(IC),9.037415638355686,15.428441303259342,18.08612238838804
p-value(IC),6.463848338430265e-19,4.947801114722837e-49,1.122425261120485e-64
IC Skew,-0.0070662198324607985,-0.0664544935971284,-0.15868749678548036
IC Kurtosis,-0.3193360431347423,-0.2554138383711564,-0.3315682385935288
