,1d,5d,10d
IC Mean,0.041657778441697185,0.06830676219159426,0.08332988427239413
IC Std.,0.17536034662790748,0.17207538077702816,0.17240269330349534
Information Ratio,0.2375552925319527,0.39695836721759054,0.4833444459345037
t-stat(IC),8.031336560147587,13.42048082158517,16.341045818863066
p-value(IC),2.3837691512885197e-15,3.070326330326231e-38,4.2316608384555966e-54
IC Skew,0.02088884136272066,-0.08642541206250316,-0.16518796881003617
IC Kurtosis,-0.3162724104088688,-0.31226274541191623,-0.3771298042537401
