,1d,5d,10d
IC Mean,0.0471962276825589,0.07303270312100124,0.08397395584450014
IC Std.,0.15283508529091894,0.14579271605010088,0.1470502455914528
Information Ratio,0.30880492913470553,0.5009351982708378,0.5710562094388033
t-stat(IC),10.66607039727675,17.302217630405238,19.72418558131025
p-value(IC),1.9723803694580375e-25,5.191343643574733e-60,3.6075209853629205e-75
IC Skew,-0.06629742726907581,-0.09935758363139144,-0.09396284632507056
IC Kurtosis,-0.17980629873290965,0.011654457885616587,-0.11532804957415843
