,1d,5d,10d
IC Mean,0.014517727143372095,0.008955380574983542,0.005270539513864274
IC Std.,0.09127162424645796,0.08982516214814662,0.08586537021360625
Information Ratio,0.15906068576330276,0.09969790603009027,0.06138143352498005
t-stat(IC),5.46159827978269,3.423284072106662,2.1076278537456847
p-value(IC),5.752105038883108e-08,0.0006399500674730394,0.035274048570895694
IC Skew,-0.14743247335629756,-0.03219368112513094,-0.12449091654689623
IC Kurtosis,0.9199740535880889,0.3488375020485859,0.6769377457668408
