,1d,5d,10d
IC Mean,0.02369186471906587,0.01564900426127568,0.01210796230689039
IC Std.,0.0982202264049461,0.09407354772443374,0.09054453604374248
Information Ratio,0.24121166877979028,0.1663486138219826,0.13372383178418384
t-stat(IC),8.229525654437099,5.6753895528902945,4.562315371576151
p-value(IC),4.994952952615912e-16,1.7458800827405798e-08,5.595546599484793e-06
IC Skew,-0.2554423776835131,0.022246944308308706,-0.0645365678472803
IC Kurtosis,0.8392014739493501,0.20395054450728622,0.4469166946634129
