,1d,5d,10d
IC Mean,0.026533214784742565,0.01856602367025043,0.014829748922905816
IC Std.,0.10052538261840611,0.09529750169607355,0.09134458648410393
Information Ratio,0.2639454244652072,0.19482172501711434,0.16234951072318374
t-stat(IC),8.966377970447189,6.6182061193041815,5.515106311885017
p-value(IC),1.209561082888382e-18,5.556868087407076e-11,4.300162033644594e-08
IC Skew,-0.3082271965803714,-0.01318313796966197,-0.04264405314112055
IC Kurtosis,0.8670253853026564,0.19400224220418893,0.40723517991096214
