,1d,5d,10d
IC Mean,0.03897922896500293,0.06323988037185743,0.07401427047695668
IC Std.,0.13462598992588498,0.12806128309022352,0.1297942932952365
Information Ratio,0.28953717619058533,0.49382513469978895,0.57024287122239
t-stat(IC),10.000565446059877,17.05663722859488,19.696093015892433
p-value(IC),1.1508313421213406e-22,1.5446732233685473e-58,5.483225514690582e-75
IC Skew,-0.04115571296328808,-0.14240581459684015,-0.20601470612864867
IC Kurtosis,0.028790931694948174,-0.006741594181682409,0.19087597190319627
