,1d,5d,10d
IC Mean,0.03826142462295099,0.06394187144764407,0.07648195169608636
IC Std.,0.15104406533188613,0.14691979638761796,0.1475138735442703
Information Ratio,0.2533129953757529,0.4352161724955463,0.5184729399240771
t-stat(IC),8.675738963545127,14.90575680763518,17.75722512684664
p-value(IC),1.3506236672511187e-17,3.843307342702357e-46,1.1630580437297827e-62
IC Skew,0.0006986255828306554,-0.10289815738037518,-0.1925980431373745
IC Kurtosis,-0.17983084363919488,-0.14474003438815508,-0.003681855132639633
