,1d,5d,10d
IC Mean,0.03846760183949001,0.06342034734133575,0.074840842352834
IC Std.,0.14648723940754124,0.14369666001911938,0.14480263061219617
Information Ratio,0.262600360243458,0.44134879219111595,0.516847256409791
t-stat(IC),9.032078216202116,15.180088892493439,17.776840981462435
p-value(IC),6.689850059107044e-19,1.1039064648265043e-47,7.740596272497111e-63
IC Skew,-0.008839344740758372,-0.10823571374730573,-0.19733795684818528
IC Kurtosis,-0.12980203207209984,-0.09248966451695217,0.12819430460496628
