,1d,5d,10d
IC Mean,0.02555963904422665,0.04378276475977475,0.053119421238590064
IC Std.,0.1495304945961076,0.14796854431835774,0.1476203399844332
Information Ratio,0.17093261888329223,0.2958923801100261,0.35983809036201647
t-stat(IC),5.702594997078859,9.871459394425276,12.004794095256317
p-value(IC),1.5112527557627133e-08,4.3410684265405e-22,2.6296072363456174e-31
IC Skew,0.16350135679469274,0.1523803060799483,0.19127027890714957
IC Kurtosis,0.07138339237557512,-0.1398031243950011,-0.296309354379654
