,1d,5d,10d
IC Mean,0.03203822906130836,0.051398916725064914,0.05977578383053878
IC Std.,0.14967176451898442,0.1377991865764678,0.1346240376859644
Information Ratio,0.21405660021629946,0.37299869470958397,0.444020138290436
t-stat(IC),7.331243247689741,12.774864961993831,15.207284603187647
p-value(IC),4.2398035167597377e-13,4.39699548523201e-35,8.421711194024958e-48
IC Skew,0.082999529639481,0.18404570433227305,0.11627587725906079
IC Kurtosis,0.19914979383666775,0.12696411788307183,0.17462013058469594
