,1d,5d,10d
IC Mean,0.026326445677532062,0.041640960525256634,0.04779152831166129
IC Std.,0.14956710007151724,0.14756959115468518,0.14472255946472434
Information Ratio,0.17601762463097678,0.2821784637297518,0.33022860076842625
t-stat(IC),5.95085366805268,9.539969360750856,11.164461992363771
p-value(IC),3.543827393860344e-09,8.308485894751389e-21,1.5291106109005968e-27
IC Skew,0.13393006662931814,0.0803897854703832,0.13581275639232032
IC Kurtosis,0.2717598361543554,0.08960403221596813,0.18129411759561043
