,1d,5d,10d
IC Mean,0.031822349808110724,0.0379163697169465,0.040305372375035016
IC Std.,0.1352746834502855,0.12381531665631487,0.121648462910747
Information Ratio,0.23524246367802948,0.3062332734018225,0.3313266062770305
t-stat(IC),8.12523519313439,10.577245840099666,11.443965343895265
p-value(IC),1.1075600283126703e-15,4.70500250137446e-25,7.596541252800827e-29
IC Skew,0.10529811810038961,0.08202480011226901,0.24511492982989463
IC Kurtosis,-0.026443960332946936,0.196000334052699,0.041537635492988834
