,1d,5d,10d
IC Mean,0.009118514962539143,-0.001612125717209123,-0.00345997843823048
IC Std.,0.09473401160588958,0.08638656809848266,0.08464646190134423
Information Ratio,0.0962538670955242,-0.018661763659499276,-0.04087564158633231
t-stat(IC),3.2825250129390056,-0.6364181289159966,-1.3939732498633792
p-value(IC),0.0010594302899717151,0.5246292662984946,0.1635921841573717
IC Skew,0.25246827734807054,0.27251817417732677,0.006677378024720815
IC Kurtosis,1.275790178617899,1.193247378507298,0.8481128350466789
