,1d,5d,10d
IC Mean,0.01704756220455436,0.012168639930491212,0.009514728915222018
IC Std.,0.0856987804289014,0.08417747364682267,0.08029489274559665
Information Ratio,0.19892421011402361,0.14455933877923557,0.11849731147120567
t-stat(IC),6.856395521478615,4.982581066556597,4.084291375156022
p-value(IC),1.1330274705265305e-11,7.204166662188758e-07,4.717608035377767e-05
IC Skew,0.17216262977846394,0.15302771849999516,0.07504146290411727
IC Kurtosis,1.049657799384482,0.9666026933576992,0.7756888623809335
