,1d,5d,10d
IC Mean,0.011467336444517702,0.0027026740420881927,0.0014389271574721644
IC Std.,0.09185942607964355,0.08449544937984035,0.08368502014973386
Information Ratio,0.12483570749261315,0.03198603074987633,0.017194560685981273
t-stat(IC),4.275509078911847,1.0954923684598974,0.5888980148181059
p-value(IC),2.0619966064202498e-05,0.2735260522249951,0.556043171428701
IC Skew,0.230017939541107,0.30346152051522474,0.048103672360684795
IC Kurtosis,1.2478995417053218,1.0627541070400275,0.8033531547181432
